provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,argus-axum-11184278655555968588,0,2,true,36,96,96
AlphabeticalComplete,random-20-4,0,1,true,90,49,49
AlphabeticalRelevant,argus-uom-8698853219055427700,0,1,true,4,6,6
AlphabeticalComplete,argus-diesel-8325909996476259911,0,2,true,33,37,37
AlphabeticalRelevant,argus-uom-8698853219055427700,0,2,true,4,6,6
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,0,true,31,34,34
AlphabeticalComplete,argus-diesel-12280181414965390748,0,0,true,91,61,61
AlphabeticalComplete,argus-bevy-11770160436335055444,0,0,true,72,43,43
AlphabeticalComplete,random-10-3,0,0,true,27,30,30
AlphabeticalUnsound,argus-chumsky-7080345814600703276,0,1,true,60,168,168
AlphabeticalUnsound,random-30-2,0,2,true,41,168,168
AlphabeticalUnsound,argus-axum-8856632446763557465,0,0,true,36,90,90
AlphabeticalComplete,argus-axum-18382130072991789967,0,1,true,49,34,34
AlphabeticalUnsound,manual-1,0,0,true,11,84,84
AlphabeticalComplete,random-20-8,0,0,true,85,49,49
AlphabeticalUnsound,argus-axum-10310841651143324696,0,2,true,66,126,126
AlphabeticalComplete,argus-axum-4812161634194520255,0,2,true,38,22,22
AlphabeticalRelevant,random-20-6,0,0,true,135,35,35
AlphabeticalUnsound,manual-1,0,1,true,11,84,84
AlphabeticalComplete,argus-axum-7449751244533988244,0,2,true,39,7,7
AlphabeticalComplete,random-20-5,0,1,true,62,39,39
AlphabeticalComplete,random-10-3,0,1,true,27,30,30
AlphabeticalRelevant,random-20-4,0,1,true,72,28,28
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,1,true,31,34,34
AlphabeticalComplete,argus-diesel-2829387904342691312,0,0,true,151,74,74
AlphabeticalUnsound,argus-axum-15073555522447742375,0,1,true,63,126,126
AlphabeticalUnsound,manual-1,0,2,true,11,84,84
AlphabeticalRelevant,argus-diesel-8325909996476259911,0,0,true,37,37,37
AlphabeticalUnsound,argus-axum-8856632446763557465,0,1,true,36,90,90
AlphabeticalUnsound,manual-5,0,0,true,73,210,210
AlphabeticalUnsound,argus-axum-18226239923860325739,0,1,true,80,156,156
AlphabeticalRelevant,argus-diesel-12280181414965390748,0,0,true,130,61,61
AlphabeticalComplete,random-20-6,0,1,true,98,53,53
AlphabeticalUnsound,argus-axum-17497105317668159604,0,1,true,85,162,162
AlphabeticalUnsound,argus-axum-12393876099641280534,0,1,true,86,174,174
AlphabeticalComplete,random-10-3,0,2,true,27,30,30
AlphabeticalComplete,argus-axum-18382130072991789967,0,2,true,49,34,34
AlphabeticalRelevant,argus-diesel-2829387904342691312,0,0,true,134,71,71
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,2,true,31,34,34
AlphabeticalRelevant,argus-diesel-12280181414965390748,0,1,true,109,61,61
AlphabeticalRelevant,argus-axum-4812161634194520255,0,0,true,44,22,22
AlphabeticalUnsound,argus-chumsky-7080345814600703276,0,2,true,60,168,168
AlphabeticalUnsound,argus-axum-8866031756020282294,0,0,true,89,174,174
AlphabeticalRelevant,argus-axum-7449751244533988244,0,0,true,45,7,7
AlphabeticalComplete,argus-bevy-11770160436335055444,0,1,true,72,43,43
AlphabeticalRelevant,argus-diesel-8325909996476259911,0,1,true,37,37,37
AlphabeticalRelevant,random-10-3,0,0,true,19,18,18
AlphabeticalComplete,manual-10,0,0,true,131,67,67
AlphabeticalUnsound,argus-axum-8856632446763557465,0,2,true,36,90,90
AlphabeticalComplete,random-20-4,0,2,true,90,49,49
AlphabeticalComplete,random-20-7,0,1,true,96,52,52
AlphabeticalComplete,random-20-5,0,2,true,62,39,39
AlphabeticalRelevant,random-10-3,0,1,true,19,18,18
AlphabeticalComplete,argus-diesel-12280181414965390748,0,1,true,96,61,61
AlphabeticalComplete,random-20-8,0,1,true,85,49,49
