provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalComplete,random-30-4,0,0,true,220,94,94
AlphabeticalComplete,random-30-3,0,0,true,258,94,94
AlphabeticalComplete,argus-bevy-4396782807146839494,0,0,true,95,66,66
AlphabeticalComplete,random-20-5,0,0,true,62,39,39
AlphabeticalComplete,random-30-2,0,0,true,271,105,105
AlphabeticalRelevant,argus-diesel-12280181414965390748,0,0,true,110,61,61
AlphabeticalUnsound,argus-diesel-15648008676699765325,0,0,true,307,198,198
AlphabeticalComplete,argus-hello-server-10345094108195090742,0,0,true,215,78,78
AlphabeticalRelevant,random-20-5,0,0,true,69,36,36
AlphabeticalComplete,argus-axum-7673184455178036491,0,0,true,204,87,87
AlphabeticalComplete,manual-10,0,0,true,131,68,68
AlphabeticalComplete,argus-axum-12393876099641280534,0,0,true,347,68,68
AlphabeticalUnsound,random-20-6,0,0,true,16,114,114
AlphabeticalComplete,random-30-6,0,0,true,204,76,76
AlphabeticalRelevant,argus-bevy-4396782807146839494,0,0,true,94,57,57
AlphabeticalUnsound,argus-chumsky-10675481925819814948,0,0,true,0,6,6
AlphabeticalComplete,argus-chumsky-10675481925819814948,0,0,true,0,2,2
AlphabeticalRelevant,argus-chumsky-10675481925819814948,0,0,true,0,2,2
AlphabeticalUnsound,argus-chumsky-1118387455367663784,0,0,true,1,12,12
AlphabeticalComplete,argus-chumsky-1118387455367663784,0,0,true,4,7,7
AlphabeticalRelevant,argus-chumsky-1118387455367663784,0,0,true,5,7,7
AlphabeticalRelevant,argus-axum-12393876099641280534,0,0,true,386,65,65
AlphabeticalComplete,argus-axum-8856632446763557465,0,0,true,233,71,71
AlphabeticalUnsound,argus-chumsky-11676463297315425816,0,0,true,46,156,156
AlphabeticalRelevant,random-30-9,0,0,true,190,42,42
AlphabeticalComplete,argus-axum-16221033744433962440,0,0,true,377,70,70
AlphabeticalComplete,random-40-8,0,0,true,381,116,116
AlphabeticalComplete,argus-axum-10310841651143324696,0,0,true,442,82,82
AlphabeticalComplete,random-20-6,0,0,true,100,55,55
AlphabeticalComplete,argus-axum-6361058880873831381,0,0,true,397,70,70
AlphabeticalRelevant,random-30-4,0,0,true,206,43,43
AlphabeticalComplete,argus-chumsky-7080345814600703276,0,0,true,404,124,124
AlphabeticalUnsound,random-40-10,0,0,true,45,180,180
AlphabeticalRelevant,manual-10,0,0,true,137,56,56
AlphabeticalRelevant,random-30-3,0,0,true,218,45,45
AlphabeticalUnsound,manual-11,0,0,true,12,66,66
AlphabeticalComplete,argus-axum-15073555522447742375,0,0,true,428,75,75
AlphabeticalComplete,argus-hello-server-7267590467205405362,0,0,true,454,79,79
AlphabeticalRelevant,random-30-6,0,0,true,172,24,24
AlphabeticalUnsound,random-40-2,0,0,true,72,234,234
AlphabeticalRelevant,random-30-2,0,0,true,279,72,72
AlphabeticalUnsound,argus-chumsky-11741262611005887494,0,0,true,0,6,6
AlphabeticalComplete,argus-chumsky-11741262611005887494,0,0,true,0,2,2
AlphabeticalRelevant,argus-chumsky-11741262611005887494,0,0,true,0,2,2
AlphabeticalUnsound,argus-chumsky-11809526917882439709,0,0,true,0,6,6
AlphabeticalComplete,argus-chumsky-11809526917882439709,0,0,true,0,2,2
AlphabeticalRelevant,argus-chumsky-11809526917882439709,0,0,true,0,2,2
AlphabeticalUnsound,random-30-7,0,0,true,25,114,114
AlphabeticalRelevant,random-20-6,0,0,true,106,37,37
AlphabeticalComplete,manual-11,0,0,true,74,35,35
AlphabeticalRelevant,argus-hello-server-10345094108195090742,0,0,true,247,78,78
AlphabeticalComplete,manual-5,0,0,true,484,148,148
AlphabeticalRelevant,argus-axum-7673184455178036491,0,0,true,236,84,84
AlphabeticalUnsound,random-20-7,0,0,true,16,108,108
AlphabeticalComplete,random-40-5,0,0,true,359,100,100
AlphabeticalComplete,random-50-10,0,0,true,511,128,128
AlphabeticalComplete,argus-axum-1337639213112565491,0,0,true,518,98,98
AlphabeticalRelevant,random-40-8,0,0,true,189,16,16
AlphabeticalRelevant,manual-11,0,0,true,68,26,26
AlphabeticalUnsound,argus-axum-18226239923860325739,0,0,true,82,156,156
AlphabeticalComplete,random-50-4,0,0,true,585,149,149
AlphabeticalComplete,random-20-7,0,0,true,96,58,58
AlphabeticalUnsound,argus-diesel-15009615579564917699,0,0,true,408,246,246
AlphabeticalRelevant,argus-axum-8856632446763557465,0,0,true,272,71,71
AlphabeticalUnsound,random-40-9,0,0,true,62,234,234
AlphabeticalComplete,random-30-7,0,0,true,150,70,70
AlphabeticalComplete,argus-axum-2355552700190003252,0,0,true,526,107,107
AlphabeticalComplete,argus-chumsky-11676463297315425816,0,0,true,302,112,112
AlphabeticalComplete,random-50-7,0,0,true,628,146,146
AlphabeticalComplete,random-50-5,0,0,true,632,159,159
AlphabeticalComplete,random-40-10,0,0,true,282,88,88
AlphabeticalComplete,random-50-6,0,0,true,595,148,148
AlphabeticalComplete,random-50-3,0,0,true,661,175,175
AlphabeticalRelevant,random-20-7,0,0,true,89,40,40
AlphabeticalUnsound,random-20-8,0,0,true,14,108,108
AlphabeticalComplete,argus-axum-6256519327200940257,0,0,true,685,128,128
AlphabeticalUnsound,argus-axum-17497105317668159604,0,0,true,84,162,162
AlphabeticalUnsound,argus-axum-8866031756020282294,0,0,true,91,174,174
AlphabeticalUnsound,random-150-8,0,0,true,784,852,852
AlphabeticalRelevant,argus-axum-16221033744433962440,0,0,true,377,58,58
AlphabeticalRelevant,argus-axum-6361058880873831381,0,0,true,353,49,49
AlphabeticalUnsound,argus-axum-7239810653348316180,0,0,true,29,78,78
AlphabeticalComplete,random-20-8,0,0,true,88,49,49
AlphabeticalUnsound,random-150-4,0,0,true,861,846,846
AlphabeticalRelevant,random-40-10,0,0,true,289,51,51
AlphabeticalUnsound,argus-chumsky-8885235206614481399,0,0,true,0,6,6
AlphabeticalComplete,argus-chumsky-8885235206614481399,0,0,true,0,2,2
AlphabeticalRelevant,argus-chumsky-8885235206614481399,0,0,true,0,2,2
AlphabeticalUnsound,random-150-7,0,0,true,866,888,888
AlphabeticalRelevant,argus-axum-10310841651143324696,0,0,true,424,60,60
AlphabeticalRelevant,random-30-7,0,0,true,157,49,49
AlphabeticalUnsound,random-150-6,0,0,true,878,894,894
AlphabeticalUnsound,argus-diesel-1094926252705493355,0,0,true,878,456,456
AlphabeticalRelevant,random-50-10,0,0,true,288,38,38
AlphabeticalUnsound,random-160-9,0,0,true,891,906,906
AlphabeticalUnsound,random-160-5,0,0,true,901,858,858
AlphabeticalUnsound,random-30-8,0,0,true,36,174,174
AlphabeticalUnsound,random-160-10,0,0,true,905,930,930
AlphabeticalRelevant,random-20-8,0,0,true,64,22,22
AlphabeticalRelevant,argus-axum-15073555522447742375,0,0,true,433,48,48
AlphabeticalRelevant,argus-chumsky-7080345814600703276,0,0,true,460,121,121
AlphabeticalUnsound,manual-12,0,0,true,299,480,480
AlphabeticalUnsound,argus-axum-15641753760587755699,0,0,true,9,12,12
AlphabeticalUnsound,random-20-9,0,0,true,16,114,114
AlphabeticalRelevant,argus-hello-server-7267590467205405362,0,0,true,414,49,49
AlphabeticalUnsound,random-150-3,0,0,true,962,894,894
AlphabeticalComplete,argus-axum-15641753760587755699,0,0,true,47,9,9
AlphabeticalUnsound,random-50-2,0,0,true,105,264,264
AlphabeticalComplete,random-40-2,0,0,true,465,124,124
AlphabeticalRelevant,random-40-5,0,0,true,413,46,46
AlphabeticalComplete,argus-axum-7239810653348316180,0,0,true,187,59,59
AlphabeticalComplete,random-20-9,0,0,true,97,52,52
AlphabeticalUnsound,random-170-8,0,0,true,1037,996,996
AlphabeticalRelevant,argus-axum-15641753760587755699,0,0,true,54,9,9
AlphabeticalUnsound,random-160-2,0,0,true,1042,858,858
AlphabeticalUnsound,random-40-6,0,0,true,54,186,186
AlphabeticalComplete,random-60-6,0,0,true,921,182,182
AlphabeticalRelevant,argus-chumsky-11676463297315425816,0,0,true,348,103,103
AlphabeticalComplete,random-40-9,0,0,true,390,110,110
AlphabeticalUnsound,random-160-3,0,0,true,1088,930,930
AlphabeticalRelevant,argus-axum-1337639213112565491,0,0,true,522,77,77
AlphabeticalRelevant,random-20-9,0,0,true,87,28,28
AlphabeticalComplete,random-30-8,0,0,true,227,84,84
AlphabeticalRelevant,manual-5,0,0,true,557,117,117
AlphabeticalUnsound,manual-6,0,0,true,3,36,36
AlphabeticalUnsound,random-160-4,0,0,true,1001,918,918
AlphabeticalComplete,manual-6,0,0,true,20,24,24
AlphabeticalUnsound,random-170-4,0,0,true,1168,1008,1008
AlphabeticalRelevant,manual-6,0,0,true,17,18,18
AlphabeticalComplete,argus-axum-18226239923860325739,0,0,true,531,96,96
AlphabeticalUnsound,manual-7,0,0,true,21,108,108
AlphabeticalUnsound,random-180-7,0,0,true,1212,1074,1074
AlphabeticalRelevant,random-50-4,0,0,true,549,103,103
AlphabeticalUnsound,random-60-2,0,0,true,106,216,216
AlphabeticalUnsound,random-170-3,0,0,true,1194,996,996
AlphabeticalRelevant,argus-axum-7239810653348316180,0,0,true,214,56,56
AlphabeticalRelevant,random-40-2,0,0,true,257,42,42
AlphabeticalUnsound,random-190-10,0,0,true,1270,1104,1104
AlphabeticalUnsound,random-170-2,0,0,true,1227,942,942
AlphabeticalRelevant,argus-axum-2355552700190003252,0,0,true,559,98,98
AlphabeticalUnsound,argus-axum-2593152621400048619,0,0,true,11,54,54
AlphabeticalUnsound,random-80-3,0,0,true,266,468,468
AlphabeticalUnsound,random-40-3,0,0,true,55,192,192
AlphabeticalComplete,argus-axum-17497105317668159604,0,0,true,551,100,100
AlphabeticalComplete,manual-7,0,0,true,133,58,58
AlphabeticalUnsound,random-190-5,0,0,true,1335,1104,1104
AlphabeticalUnsound,random-190-4,0,0,true,1347,1044,1044
AlphabeticalRelevant,random-50-5,0,0,true,650,90,90
AlphabeticalRelevant,random-30-8,0,0,true,256,66,66
AlphabeticalComplete,argus-axum-2593152621400048619,0,0,true,98,42,42
AlphabeticalComplete,argus-axum-8866031756020282294,0,0,true,612,112,112
AlphabeticalRelevant,random-40-9,0,0,true,315,26,26
AlphabeticalComplete,random-40-6,0,0,true,348,107,107
