provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalComplete,argus-media-9498257760582091532,0,0,true,0,2,2
AlphabeticalComplete,argus-media-9498257760582091532,0,1,true,0,2,2
AlphabeticalComplete,argus-media-9498257760582091532,0,2,true,0,2,2
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,0,true,3,7,7
AlphabeticalRelevant,argus-media-9498257760582091532,0,0,true,0,2,2
AlphabeticalRelevant,argus-media-9498257760582091532,0,1,true,0,2,2
AlphabeticalRelevant,argus-axum-7239810653348316180,0,2,true,4,4,4
AlphabeticalRelevant,argus-media-9498257760582091532,0,2,true,0,2,2
AlphabeticalUnsound,argus-axum-7449751244533988244,0,0,true,0,6,6
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,0,true,0,6,6
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,1,true,0,6,6
AlphabeticalUnsound,argus-axum-7449751244533988244,0,1,true,0,6,6
AlphabeticalUnsound,argus-to-string-7456765733392558773,0,2,true,0,6,6
AlphabeticalUnsound,argus-axum-7449751244533988244,0,2,true,0,6,6
AlphabeticalComplete,argus-to-string-7456765733392558773,0,0,true,0,2,2
AlphabeticalUnsound,argus-axum-18226239923860325739,0,1,true,25,84,84
AlphabeticalUnsound,argus-axum-15641753760587755699,0,0,true,25,78,78
AlphabeticalComplete,argus-axum-11184278655555968588,0,2,true,7,10,10
AlphabeticalComplete,argus-to-string-7456765733392558773,0,1,true,0,2,2
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,1,true,3,7,7
AlphabeticalUnsound,argus-axum-8856632446763557465,0,0,true,0,12,12
AlphabeticalComplete,argus-to-string-7456765733392558773,0,2,true,0,2,2
AlphabeticalUnsound,argus-bevy-11770160436335055444,0,0,true,0,6,6
AlphabeticalUnsound,argus-axum-15641753760587755699,0,1,true,26,78,78
AlphabeticalRelevant,argus-to-string-7456765733392558773,0,0,true,0,2,2
AlphabeticalRelevant,argus-axum-11184278655555968588,0,2,true,8,10,10
AlphabeticalUnsound,argus-axum-8856632446763557465,0,1,true,0,12,12
AlphabeticalUnsound,argus-bevy-11770160436335055444,0,1,true,0,6,6
AlphabeticalUnsound,argus-uom-15692225898143735533,0,0,true,0,6,6
AlphabeticalUnsound,argus-chumsky-11676463297315425816,0,2,true,9,48,48
AlphabeticalRelevant,argus-to-string-7456765733392558773,0,1,true,0,2,2
AlphabeticalUnsound,argus-uom-15692225898143735533,0,1,true,0,6,6
AlphabeticalUnsound,argus-axum-8856632446763557465,0,2,true,0,12,12
AlphabeticalComplete,argus-axum-396255765337843740,0,1,true,9,12,12
AlphabeticalUnsound,argus-axum-18226239923860325739,0,0,true,27,84,84
AlphabeticalUnsound,argus-uom-15692225898143735533,0,2,true,0,6,6
AlphabeticalUnsound,argus-bevy-11770160436335055444,0,2,true,0,6,6
AlphabeticalRelevant,argus-to-string-7456765733392558773,0,2,true,0,2,2
AlphabeticalUnsound,argus-uom-12620612547616295812,0,0,true,0,6,6
AlphabeticalUnsound,argus-uom-12620612547616295812,0,1,true,0,6,6
AlphabeticalUnsound,argus-axum-7673184455178036491,0,0,true,0,12,12
AlphabeticalUnsound,argus-uom-12620612547616295812,0,2,true,0,6,6
AlphabeticalComplete,argus-uom-15692225898143735533,0,0,true,0,2,2
AlphabeticalComplete,argus-uom-12620612547616295812,0,0,true,0,2,2
AlphabeticalComplete,argus-axum-7449751244533988244,0,0,true,4,4,4
AlphabeticalRelevant,argus-diesel-11016622017794300009,0,2,true,3,7,7
AlphabeticalUnsound,argus-axum-7673184455178036491,0,1,true,0,12,12
AlphabeticalComplete,argus-uom-15692225898143735533,0,1,true,0,2,2
AlphabeticalComplete,argus-uom-12620612547616295812,0,1,true,0,2,2
AlphabeticalUnsound,argus-axum-7673184455178036491,0,2,true,0,12,12
AlphabeticalComplete,argus-uom-12620612547616295812,0,2,true,0,2,2
AlphabeticalComplete,argus-axum-8856632446763557465,0,0,true,2,7,7
AlphabeticalComplete,argus-uom-15692225898143735533,0,2,true,0,2,2
